reading_id,recorded_at,building_zone,sensor_id,floor_number,occupancy_count,outdoor_temp_c,outdoor_humidity_pct,outdoor_pm25_ug_m3,indoor_temp_c,indoor_humidity_pct,co2_ppm,pm25_ug_m3,tvoc_ppb,air_flow_m3_h,fan_speed_rpm,hvac_power_kw,filter_pressure_pa,vibration_mm_s,maintenance_days,window_open_pct,equipment_age_years,firmware_version,diagnostic_state
1,2025-01-01T08:00,B06-Z01,S0015,1,,22.95,55.04,66.55,23.01,62.84,448.69,28.39,313.45,1841.72,805.52,20.47,165.59,1.07,41,64.75,6.8,v2.0.1,normal
2,2025-01-01T08:30,B03-Z01,S0020,1,18,31.74,49.6,41.59,29.89,51.88,507.29,13.02,301.22,2443.19,993.71,18.12,211.45,2.32,75,3.67,9.4,v1.1.0,normal
3,2025-01-01T09:00,B01-Z04,S0049,4,24,29.44,61.42,40.91,26.7,50.34,729.1,20.23,420.9,2652.78,847.55,19.28,190.2,1.07,9,61.47,7.7,v2.1.3,normal
4,2025-01-01T09:30,B03-Z01,S0009,1,37,34.97,84.44,37.03,34.9,52.91,721.8,16.21,287.58,2170.83,1442.41,21.17,171.75,3.79,29,39.48,1.9,v1.1.0,normal
5,2025-01-01T10:00,B06-Z02,S0055,2,21,24.93,71.81,47.76,22.44,56.06,731.0,24.08,229.56,1960.37,1225.5,37.12,192.6,3.64,46,21.07,5.1,v1.0.2,normal
6,2025-01-01T10:30,B06-Z01,S0039,1,19,27.14,53.95,41.17,27.11,83.84,2022.43,71.09,153.94,1079.16,1631.29,47.22,335.66,0.58,137,65.28,7.4,v1.1.0,ventilation_issue
7,2025-01-01T11:00,B06-Z02,S0061,2,33,20.97,68.75,57.46,32.74,90.44,977.63,38.84,156.68,2055.54,806.11,54.97,237.32,0.37,16,47.08,2.6,v1.0.2,thermal_issue
8,2025-01-01T11:30,B03-Z03,S0010,3,22,23.01,66.84,52.75,23.35,62.65,610.15,19.67,242.14,2462.16,1142.23,25.18,120.38,2.66,87,7.87,7.7,v1.0.2,normal
9,2025-01-01T12:00,B02-Z04,S0025,4,5,26.08,63.98,34.5,23.58,63.47,566.23,19.26,390.99,2570.46,849.84,16.26,219.92,2.0,98,32.08,0.5,v2.1.3,normal
10,2025-01-01T12:30,B03-Z01,S0119,1,20,26.19,64.04,82.01,31.16,73.89,1818.41,85.23,287.83,837.37,868.09,59.22,401.09,3.28,48,76.86,1.1,v1.0.2,ventilation_issue
